CSC 101,Introduction to Computer Science,Computer Science
CHM 101,General Chemistry I (Physical),Basic Science
CHM 107,General Practical Chemistry I,Basic Science
MTH 101,Elementary Mathematics I (Algebra & Trigonometry),Basic Science
MTH 103,Elementary Mathematics II (Set Theory and Numbers),Basic Science
PHY 101,General Physics I (Mechanics & Properties of Matter),Basic Science
PHY 107,General Physics Practical I,Basic Science
CSC 201,Computer Programming I,Computer Science
CSC 205,Operating System I,Computer Science
MTH 201 ,Mathematical Methods,Basic Science
MTH 203, Linear Algebra I,Basic Science
PHY 201 ,General Physics III (Modern Physics),Basic Science
CSC 202,Computer Programming II,Computer Science
CSC 204,Fundamentals of Data Structure,Computer Science
MTH 204,Linear Algebra II,Basic Science
CSC 301,Structured Programming,Computer Science
CSC 303,Database Management I,Computer Science
CSC 305,Operating Systems II,Computer Science
CSC 307,Systems Analysis and Design,Computer Science
CSC 309,Computer Architecture and organization I,Computer Science
CSC 311,Compiler Construction I,Computer Science
CSC 302,Object-Oriented Programming,Computer Science
CSC 304,Survey of Programming Language,Computer Science
CSC 306,Algorithms and Complexity Analysis,Computer Science
CSC 308,Formal Methods and Software Development,Computer Science
CSC 310,Computer Architecture and Organization II,Computer Science
CSC 312,Computational Science and Numerical Methods,Computer Science
GET 111,Basic Engineering Drawing,Electrical Engineering
PHY 106,General Physics III,Basic Science
GET 201,Fundamentals of Electrical Engineering I,Electrical Engineering
GET 203,Engineering Drawing I,Electrical Engineering
GET 205,Workshop Practice,Electrical Engineering
GET 207,Engineering Mechanics,Electrical Engineering
GET 213,Fundamentals of Thermodynamics,Electrical Engineering
GET 203,Fundamentals of Electrical Engineering II,Electrical Engineering
GET 206,Fundamentals of Fluid Mechanics,Electrical Engineering
EEE 301,Electronic Circuits I (Analogue),Electrical Engineering
EEE 303,Electric Circuit Theory I,Electrical Engineering
EEE 305,Electromagnetic Fields and Waves I,Electrical Engineering
EEE 307,Data Communications and Networks,Electrical Engineering
EEE 309,Physical Electronics,Electrical Engineering
EEE 302,Electronic Circuits II (Digital),Electrical Engineering
EEE 308,Applied Computer Programming,Electrical Engineering
EEE 310,Linear Systems,Electrical Engineering
EEE 314,Electromechanical System,Electrical Engineering
GET 208,Strength of Materials,Mechanical Engineering
GET 210,Engineering Mathematics II,Mechanical Engineering
GET 212,Fundamentals of Computer Aided Engineering,Mechanical Engineering
GET 224,Engineering Communication,Mechanical Engineering
MEE 307,Theory of Machines I,Mechanical Engineering
MEE 309,Thermodynamics -II,Mechanical Engineering
MEE313,Engineering Technology,Mechanical Engineering
MEE 315,Control Systems,Mechanical Engineering
MEE 331,Engineering Drawing III,Mechanical Engineering
EEE 301,Electronic Circuits I (Analogue),Mechanical Engineering
MEE 308,Manufacturing Technology,Mechanical Engineering
MEE 310,Fluid Mechanics II,Mechanical Engineering
MEE 312,Engineering Metallurgy,Mechanical Engineering
MEE 322,Metrology,Mechanical Engineering
MEE 324,Mechanics of Materials - I,Mechanical Engineering
